Complexity metrics,joi, 24 nov. 2022 11:06:58 EET
Method,CogC,ev(G),iv(G),v(G)
Main.main(String[]),0,1,1,1
config.ApplicationContext.getPROPERTIES(),0,1,1,1
config.Config.getProperties(),1,1,1,2
domain.Entity.getId(),0,1,1,1
domain.Entity.setId(ID),0,1,1,1
domain.Entity.toString(),0,1,1,1
"domain.Friendship.Friendship(long, long, LocalDateTime)",0,1,1,1
domain.Friendship.equals(Object),6,3,7,9
domain.Friendship.getFriendsFrom(),0,1,1,1
domain.Friendship.getIdUser1(),0,1,1,1
domain.Friendship.getIdUser2(),0,1,1,1
domain.Friendship.hashCode(),0,1,1,1
domain.Friendship.setFriendsFrom(LocalDateTime),0,1,1,1
domain.Friendship.setIdUser1(long),0,1,1,1
domain.Friendship.setIdUser2(long),0,1,1,1
domain.Friendship.toString(),0,1,1,1
"domain.User.User(String, String, String)",0,1,1,1
domain.User.equals(Object),4,3,4,6
domain.User.getEmail(),0,1,1,1
domain.User.getFirstName(),0,1,1,1
domain.User.getId(),0,1,1,1
domain.User.getLastName(),0,1,1,1
domain.User.hashCode(),0,1,1,1
domain.User.isInCommunity(),0,1,1,1
domain.User.setCommunity(boolean),0,1,1,1
domain.User.setEmail(String),0,1,1,1
domain.User.setFirstName(String),0,1,1,1
domain.User.setId(Long),0,1,1,1
domain.User.setLastName(String),0,1,1,1
domain.User.toString(),0,1,1,1
domain.validators.FriendshipValidator.validate(Friendship),6,2,1,7
domain.validators.UserValidator.validate(User),10,2,10,17
domain.validators.ValidationException.ValidationException(),0,1,1,1
domain.validators.ValidationException.ValidationException(String),0,1,1,1
"domain.validators.ValidationException.ValidationException(String, Throwable)",0,1,1,1
"domain.validators.ValidationException.ValidationException(String, Throwable, boolean, boolean)",0,1,1,1
domain.validators.ValidationException.ValidationException(Throwable),0,1,1,1
"repository.AbstractFileRepository.AbstractFileRepository(String, Validator<E>)",0,1,1,1
repository.AbstractFileRepository.loadData(),3,1,4,4
repository.AbstractFileRepository.refreshFile(Iterable<E>),2,1,3,3
repository.AbstractFileRepository.remove(ID),1,1,2,2
repository.AbstractFileRepository.save(E),1,1,2,2
repository.AbstractFileRepository.size(),0,1,1,1
repository.AbstractFileRepository.update(E),1,1,2,2
repository.AbstractFileRepository.writeToFile(E),1,1,2,2
"repository.FriendshipDBRepo.FriendshipDBRepo(String, String, String, Validator<Friendship>)",0,1,1,1
repository.FriendshipDBRepo.findAll(),2,1,3,3
repository.FriendshipDBRepo.findOne(Long),3,3,2,3
repository.FriendshipDBRepo.remove(Long),1,1,2,2
repository.FriendshipDBRepo.save(Friendship),1,1,2,2
repository.FriendshipDBRepo.size(),1,1,1,2
repository.FriendshipDBRepo.update(Friendship),0,1,1,1
"repository.Friendshipfile.Friendshipfile(String, Validator<Friendship>)",0,1,1,1
repository.Friendshipfile.createEntityAsString(Friendship),0,1,1,1
repository.Friendshipfile.extractEntity(List<String>),0,1,1,1
repository.InMemoryRepository.InMemoryRepository(Validator<E>),0,1,1,1
repository.InMemoryRepository.findAll(),0,1,1,1
repository.InMemoryRepository.findOne(ID),1,2,1,2
repository.InMemoryRepository.remove(ID),0,1,1,1
repository.InMemoryRepository.save(E),4,4,2,4
repository.InMemoryRepository.size(),0,1,1,1
repository.InMemoryRepository.update(E),2,3,2,3
"repository.UserDBRepository.UserDBRepository(String, String, String, Validator<User>)",0,1,1,1
repository.UserDBRepository.findAll(),2,1,3,3
repository.UserDBRepository.findOne(Long),3,3,2,3
repository.UserDBRepository.remove(Long),1,1,2,2
repository.UserDBRepository.save(User),1,1,2,2
repository.UserDBRepository.size(),1,1,1,2
repository.UserDBRepository.update(User),0,1,1,1
"repository.Userfile.Userfile(String, Validator<User>)",0,1,1,1
repository.Userfile.createEntityAsString(User),0,1,1,1
repository.Userfile.extractEntity(List<String>),0,1,1,1
service.Service.DFS(User),14,1,8,8
service.Service.Service(),0,1,1,1
"service.Service.addFriendship(long, long)",8,1,3,5
"service.Service.addUser(String, String, String)",6,3,3,5
service.Service.listUsers(),0,1,1,1
service.Service.listUsersWithFriends(),14,3,3,6
service.Service.numberOfComunities(),3,1,3,3
"service.Service.removeFriendship(long, long)",5,1,3,4
service.Service.removeUser(long),7,1,4,4
"service.Service.searchFriendship(long, long)",8,4,5,6
service.Service.searchUser(long),1,1,2,2
ui.Console.Console(Service),0,1,1,1
ui.Console.addFriendToUserUI(),0,1,1,1
ui.Console.addUserUI(),0,1,1,1
ui.Console.removeFriendFromUserUI(),0,1,1,1
ui.Console.removeUserUI(),0,1,1,1
ui.Console.start(),10,3,11,13

Class,OCavg,OCmax,WMC
Main,"1,00",1,1
config.ApplicationContext,"1,00",1,1
config.Config,"1,00",1,1
domain.Entity,"1,00",1,3
domain.Friendship,"1,20",3,12
domain.User,"1,14",3,16
domain.validators.FriendshipValidator,"7,00",7,7
domain.validators.UserValidator,"8,00",8,8
domain.validators.ValidationException,"1,00",1,5
repository.AbstractFileRepository,"1,62",2,13
repository.FriendshipDBRepo,"1,57",3,11
repository.Friendshipfile,"1,00",1,3
repository.InMemoryRepository,"1,86",4,13
repository.UserDBRepository,"1,57",3,11
repository.Userfile,"1,00",1,3
service.Service,"3,27",6,36
ui.Console,"2,83",12,17

Package,v(G)avg,v(G)tot
,"1,00",1
config,"1,50",3
domain,"1,48",40
domain.validators,"4,14",29
repository,"1,83",64
service,"4,09",45
ui,"3,00",18

Module,v(G)avg,v(G)tot
lab5,"2,25",200

Project,v(G)avg,v(G)tot
project,"2,25",200

